id,requirement,authority,source,sop_clause,enforced,qualification
B-01,Navigation alignment is complete before data logging begins,TRIMBLE REQUIREMENT,"MX60 QSG Rev B, §5.3 p.11 — ""Navigation alignment must be done first before data logging is allowed!""",9.2,Software — TMI does not allow logging until alignment is done,
B-02,A mission is at least 30 minutes long,TRIMBLE REQUIREMENT,"MX60 QSG Rev B, §5.4 p.13 — ""Important! A minimum mission time of >=30 min is required."" Repeated §6 p.14",9.2,Not established,"Trimble states the requirement but not whether TMI enforces it, and gives no reason. V-18"
B-03,A ground control point and its picked target are no more than 30 m (100 ft) apart,TRIMBLE REQUIREMENT,"TBC 22905 — ""NOTE: The distance in a pair of points cannot exceed the allowed maximum distance of 30 meters (or 100 feet).""",14.5,Software — stated as an allowed maximum that cannot be exceeded,The topic states the limit. It does not describe what TBC does when a pair exceeds it
B-04,At least one control point in a registration is not a validation point,TRIMBLE REQUIREMENT,"TBC 22905 — ""If you set all the selected ground control points (GCPs) as validation points (VPs), an error will pop-up and will prompt you to have at least one ground control point (GCP) for the calculation.""",14.3,Software — an error blocks the calculation,
B-05,Data outside the outermost control point is not described as registered to that control,TRIMBLE REQUIREMENT,"TBC 22905 — Local is ""suitable for a local adjustment of a run, not for systematic error along the run or for adjusting outside the ground control points set"" (W-08)",7.2; 14.5,None — the software gives no indication of where the adjustment stopped,"Trimble states the scope of the method, not a prohibition. What follows — that unadjusted data is not described as adjusted — is a statement of fact, not a Parametrix policy choice"
B-06,A calibration is not accepted on RMS alone; a visual check is performed,TRIMBLE REQUIREMENT,"TBC 24886 — ""Good RMS values do not mean that the calibration succeeded. A visual check is needed. On the other side, bad RMS values mean that the calibration failed.""",15.4,None,
B-07,A registration is not judged on its residuals alone; a visual check is performed,TRIMBLE REQUIREMENT,"TBC 25096 — the same sentence, word for word, in the run-to-run registration topic",14.9; 16.7,None,"Trimble writes ""calibration"" in both topics. One of the two is a registration topic, which is why it is read as covering both"
B-08,"Vehicle speed does not exceed 110 km/h (68 mph), system operating or not",EQUIPMENT LIMIT,"MX60 UG Rev B, p.53 specification table — ""Maximum Vehicle Speed (with operating or non-operating system on board) 110 km/h (68 mph)""",9.4,None,"The specification table states it as the maximum. The body text at p.9 words it ""should not exceed"""
B-09,Supply voltage is kept above the Battery Protect thresholds,EQUIPMENT LIMIT,"MX60 UG Rev B, p.27 — audible warning below 10.5 V for longer than 12 s; power cut below 10.5 V for more than 90 s; normal status recovered if voltage rises above 12.0 V within those 90 s",9.4,Hardware — the Power Unit cuts power itself (W-11),"The roughly 78 s of usable warning is arithmetic from the two published figures, not a Trimble number"
B-10,The system is operated inside its rated environmental envelope,EQUIPMENT LIMIT,"MX60 UG Rev B, p.53 — operating -10 to +50 C, 20-80 % RH, footnote 1: ""Not exposed to direct sun and without driving less than 10 km/h (6 mph)""",9.4,None,"The temperature rating is conditional. Stationary or below 10 km/h in direct sun is outside the stated envelope, whatever the air temperature"
