id,type,status,priority,blocks,owner,question,why_it_matters,source_evidence,affected_documents,affected_stage,resolution,date_resolved
D-1,decision,open,P2,nothing,,"Who owns this SOP, who approves revisions, on what review cycle?",TBC is on an annual release cycle and each release has changed mobile mapping behaviour,—,Manual; SOP; Field; Office,document control,,
D-2,decision,open - part answered,P1,nothing,,"Are GAMS and DMI fitted, and which mounting rack? (The configuration is answered: MX60 Premium.)",GAMS decides whether GAMS-assisted initialization is available; DMI decides whether DMI settings appear in trajectory processing and whether the published no-outage accuracy applies; the rack decides whether the published GAMS corner offsets apply,TBC 22501; TBC 23888; MX60 UG Rev B p.12,Manual; SOP; Field; Office,system,"Configuration answered 2026-09-19: MX60 Premium, the top configuration - panoramas 12288x6144 px, roll/pitch 0.0025 deg, the better 60 s outage figures. Stated by the system owner; serial-number confirmation outstanding under V-4. GAMS, DMI and rack remain open  |  2026-09-19 audit: the rack manual held in the repository is the MX Shock Absorbing Mounting Rack User Guide Rev B, P/N 37000001 (the 28 kg rack), while the spec sheet lists only the 18 kg standard rack. Circumstantial, not proof, but it points away from the standard rack - and the published GAMS corner offsets apply to the standard rack only. Settle by looking at the vehicle",2026-09-19 (part)
D-3,decision,open,P1,nothing,,"Roles and authorities - who may operate, register, accept a registration, run Cleanup, sign the accuracy statement, own calibration currency",The accepting person should not be the person who performed the adjustment,—,Manual; SOP; Field,all,,
D-10,decision,open,P1,processing,,"Do we hold a POSPac MMS 8.6+ licence, and where is it installed?","Determines whether trajectory processing and PFIX are available at all, and removes one of three degraded-GNSS remedies",TBC 25943; TBC 24460,Manual; SOP; Office,trajectory processing,,
D-11,decision,open,P2,nothing,,Is LiDAR QC a capability we intend to have?,"128-256 GB RAM, dedicated SSDs, MATLAB Runtime. Urgent only when it is too late",TBC 28972,Manual; SOP,trajectory processing,,
D-12,decision,open,P2,nothing,,"Registration command selection - is Register a Mission the corridor default, and where does run-to-run sit?",The three commands are not interchangeable. Run-to-run uses no control and propagates the reference run absolute error,TBC 22905; TBC 26473; TBC 25096,Manual; SOP; Office,registration,,
D-13,decision,open,P1,formal acceptance,,What constitutes an acceptable registration and an acceptable point cloud?,"No Trimble source provides a threshold. Must combine residuals, independent checks, visual inspection and the project accuracy requirement",TBC 24886; TBC 25096,Manual; SOP; Field; Office,QC,,
D-15,decision,open,P1,nothing,,Is the control/check designation fixed before registration and unchangeable during it?,Guards the failure that looks like diligence - a processor who dislikes a check residual and ticks the point into the adjustment,TBC 22905,Manual; SOP; Office,registration,,
D-16,decision,open,P1,delivery for a stated accuracy purpose,,"Control design - how many control points, at what spacing, how many independent checks, and does density vary with predicted GNSS conditions?",No Trimble source states any. TBC minimum of one pair is a mathematical floor. Local does not extrapolate,TBC 22905,Manual; SOP,project setup,,
D-18,decision,open,P3,nothing,,"What is verified at import, and by whom?","Seven checks, each cheaper now than later",TBC 22499,SOP; Office,intake,,
D-19,decision,open,P1,collection,,IN-Fusion+ Single Base or PP-RTX?,"Determines whether a base station is occupied every mission, and the reference frame the solution is computed in",TBC 25943,Manual; SOP; Field,trajectory processing,,
D-21,decision,open,P1,processing,,"Which datum and epoch do we work in, who sets it, who checks it?",A silent failure mode (the ITRF00 path) plus a user-settable epoch control Trimble flags as risky,TBC 25943; TBC RN 2026.10,Manual; SOP; Office,project setup,,
D-22,decision,open,P3,nothing,,Are scans generated coloured by default?,Discovering later that colour was wanted means regenerating the mission,TBC 22499; TBC 23339,Manual; SOP; Office,scan generation,,
D-24,decision,open,P2,nothing,,"Where is the calibration site, and who maintains it?",Establishing one is a morning of work; finding one under schedule pressure is not,TBC 24886; TBC 28972,Manual; SOP; Office,calibration,,
D-26,decision,open,P1,nothing,,Recalibration interval and triggers - does daily removal of the Sensor Unit count as disturbing it? What happens to data collected on a stale calibration?,"If the head comes off nightly, calibration is routine rather than periodic",MX60 UG Rev B p.7,Manual; SOP; Field; Office,calibration,,
D-27,decision,open,P2,nothing,,"QC inspection content - what does a visual point-cloud QC pass cover, and an imagery QC pass?",Two QC layers produce no software artefact at all,TBC 24886; TBC 25096,Manual; SOP; Office,QC,,
D-28,decision,open,P2,nothing,,"Is the retro-reflective target check our periodic verification, and at what interval?",The only independent check on the instrument in any source,MX60 UG Rev B p.7,Manual; SOP,calibration,,
D-29,decision,open,P1,nothing,,"The record package - what provenance record accompanies a deliverable, where does it live, and where is the control/check designation and its residuals recorded?",Six facts cannot be reconstructed from the deliverable; TBC is not documented as reporting the designation,TBC 22905; TBC 23991_1,Manual; SOP; Office,provenance,,
D-31,decision,open,P3,nothing,,Is the imagery file-size scan adopted?,Validation required first - file size alone cannot establish image validity,TBC 23339; TBC 22501,Manual; SOP; Office,QC,,
D-32,decision,open,P1,nothing,,"What is our position on imagery privacy? Are unblurred originals retained, and for how long?",Legal and reputational dimensions outside the SOP. Blurring is irreversible in the delivered product,TBC 29527,Manual; SOP; Office,export,,
D-34,decision,open,P2,nothing,,"Handling segments mobile mapping cannot serve - the decision rule when a corridor produces an unacceptable trajectory, and whether marginal segments are recorded before mobilising",Includes the legitimate professional answer that another method would be more defensible,—,Manual; SOP; Field; Office,mission planning,,
